('🦑', '🥴', 2)
('🦑', '🥶', 10)
('🦑', '💀', 2)
('🦑', '☠️', 8)
('🦑', '🤖', 2)
('🦑', '👋🏻', 2)
('🦑', '✍🏻', 2)
('🦑', '👶🏻', 2)
('🦑', '🦴', 2)
('🦑', '🗣️', 2)
('🦑', '💩', 2)
('🦑', '🧠', 2)
('🦑', '🤑', 10)
('🦑', '🕳️', 2)
('🦑', '⚠️', 2)
('🦑', '🚸', 2)
('🦑', '🚮', 6)
('🦑', '🆖', 4)
('🦑', '🔀', 2)
('🦑', '🔄', 2)
('🦑', '🔃', 2)
('🦄', '🤪', 3)
('🦄', '🤡', 3)
('🦄', '🤭', 2)
('🦄', '😣', 2)
('🦄', '😖', 2)
('🦄', '😫', 3)
('🦄', '😩', 2)
('🦄', '😤', 2)
('🦄', '😱', 2)
('🦄', '😵', 2)
('🦄', '🤯', 2)
('🦄', '😲', 2)
('🦄', '🥴', 2)
('🦄', '🥶', 10)
('🦄', '💀', 2)
('🦄', '☠️', 3)
('🦄', '🤖', 3)
('🦄', '👋🏻', 2)
('🦄', '✍🏻', 2)
('🦄', '👶🏻', 2)
('🦄', '🦴', 2)
('🦄', '🗣️', 2)
('🦄', '💩', 3)
('🦄', '🧠', 2)
('🦄', '🤑', 10)
('🦄', '🕳️', 2)
('🦄', '⚠️', 2)
('🦄', '🚸', 2)
('🦄', '🚮', 6)
('🦄', '🆖', 4)
('🦄', '🔀', 2)
('🦄', '🔄', 2)
('🦄', '🔃', 2)
('🤪', '🤡', 43)
('🤪', '🤭', 7)
('🤪', '😣', 4)
('🤪', '😖', 4)
('🤪', '😫', 4)
('🤪', '😩', 4)
('🤪', '😤', 5)
('🤪', '😱', 22)
('🤪', '😵', 36)
('🤪', '🤯', 21)
('🤪', '😲', 5)
('🤪', '🥴', 12)
('🤪', '🥶', 11)
('🤪', '💀', 34)
('🤪', '☠️', 91)
('🤪', '🤖', 6)
('🤪', '👋🏻', 2)
('🤪', '✍🏻', 2)
('🤪', '👶🏻', 2)
('🤪', '🦴', 10)
('🤪', '🗣️', 17)
('🤪', '💩', 29)
('🤪', '🧠', 10)
('🤪', '🤑', 15)
('🤪', '🕳️', 7)
('🤪', '⚠️', 2)
('🤪', '🚸', 2)
('🤪', '🚮', 7)
('🤪', '🆖', 4)
('🤪', '🔀', 2)
('🤪', '🔄', 2)
('🤪', '🔃', 2)
('🤭', '😣', 3)
('🤭', '😖', 2)
('🤭', '😫', 5)
('🤭', '😩', 2)
('🤭', '😤', 5)
('🤭', '😱', 15)
('🤭', '😵', 4)
('🤭', '🤯', 10)
('🤭', '😲', 4)
('🤭', '🥴', 3)
('🤭', '🥶', 10)
('🤭', '💀', 8)
('🤭', '☠️', 6)
('🤭', '🤖', 2)
('🤭', '👋🏻', 2)
('🤭', '✍🏻', 2)
('🤭', '👶🏻', 2)
('🤭', '🦴', 2)
('🤭', '🗣️', 2)
('🤭', '💩', 9)
('🤭', '🧠', 4)
('🤭', '🤑', 12)
('🤭', '🕳️', 2)
('🤭', '⚠️', 2)
('🤭', '🚸', 2)
('🤭', '🚮', 6)
('🤭', '🆖', 4)
('🤭', '🔀', 2)
('🤭', '🔄', 2)
('🤭', '🔃', 2)
('😣', '😖', 6)
('😣', '😫', 8)
('😣', '😩', 7)
('😣', '😤', 10)
('😣', '😱', 5)
('😣', '😵', 4)
('😣', '🤯', 2)
('😣', '😲', 7)
('😣', '🥴', 2)
('😣', '🥶', 10)
('😣', '💀', 3)
('😣', '☠️', 3)
('😣', '🤖', 3)
('😣', '👋🏻', 2)
('😣', '✍🏻', 2)
('😣', '👶🏻', 2)
('😣', '🦴', 2)
('😣', '🗣️', 2)
('😣', '💩', 6)
('😣', '🧠', 2)
('😣', '🤑', 10)
('😣', '🕳️', 2)
('😣', '⚠️', 2)
('😣', '🚸', 2)
('😣', '🚮', 6)
('😣', '🆖', 4)
('😣', '🔀', 2)
('😣', '🔄', 2)
('😣', '🔃', 2)
('😖', '😫', 25)
('😖', '😩', 8)
('😖', '😤', 6)
('😖', '😱', 5)
('😖', '😵', 2)
('😖', '🤯', 3)
('😖', '😲', 6)
('😖', '🥴', 2)
('😖', '🥶', 10)
('😖', '💀', 3)
('😖', '☠️', 2)
('😖', '🤖', 2)
('😖', '👋🏻', 2)
('😖', '✍🏻', 2)
('😖', '👶🏻', 2)
('😖', '🦴', 2)
('😖', '🗣️', 2)
('😖', '💩', 4)
('😖', '🧠', 2)
('😖', '🤑', 18)
('😖', '🕳️', 2)
('😖', '⚠️', 2)
('😖', '🚸', 2)
('😖', '🚮', 6)
('😖', '🆖', 4)
('😖', '🔀', 2)
('😖', '🔄', 2)
('😖', '🔃', 2)
('😫', '😩', 22)
('😫', '😤', 31)
('😫', '😱', 7)
('😫', '😵', 5)
('😫', '🤯', 4)
('😫', '😲', 3)
('😫', '🥴', 2)
('😫', '🥶', 10)
('😫', '💀', 6)
('😫', '☠️', 5)
('😫', '🤖', 2)
('😫', '👋🏻', 2)
('😫', '✍🏻', 2)
('😫', '👶🏻', 2)
('😫', '🦴', 2)
('😫', '🗣️', 2)
('😫', '💩', 9)
('😫', '🧠', 2)
('😫', '🤑', 10)
('😫', '🕳️', 2)
('😫', '⚠️', 2)
('😫', '🚸', 2)
('😫', '🚮', 6)
('😫', '🆖', 4)
('😫', '🔀', 2)
('😫', '🔄', 2)
('😫', '🔃', 2)
('😩', '😤', 8)
('😩', '😱', 4)
('😩', '😵', 4)
('😩', '🤯', 6)
('😩', '😲', 5)
('😩', '🥴', 3)
('😩', '🥶', 12)
('😩', '💀', 81)
('😩', '☠️', 4)
('😩', '🤖', 2)
('😩', '👋🏻', 2)
('😩', '✍🏻', 2)
('😩', '👶🏻', 2)
('😩', '🦴', 2)
('😩', '🗣️', 2)
